iter	Accuracy	Logloss
615	0.9706666667	0.2188065132
616	0.9706666667	0.2185636337
617	0.9706666667	0.2184636995
618	0.9693333333	0.2180716351
619	0.9693333333	0.2176819554
620	0.9706666667	0.2172819756
621	0.972	0.2164609897
622	0.9706666667	0.2163834078
623	0.9706666667	0.2159660959
624	0.9706666667	0.215927781
625	0.9706666667	0.2158522609
626	0.9706666667	0.2153918104
627	0.972	0.2146958392
628	0.972	0.2141924738
629	0.972	0.2139449424
630	0.972	0.2137272223
631	0.9733333333	0.2122739089
632	0.9746666667	0.212050821
633	0.9733333333	0.2116567003
634	0.9733333333	0.2115168407
635	0.972	0.2114520181
636	0.9733333333	0.2112680493
637	0.972	0.2109531892
638	0.972	0.2106729136
639	0.972	0.2102703406
640	0.972	0.2097603343
641	0.9733333333	0.2094112365
642	0.9733333333	0.2089612473
643	0.9733333333	0.2086208039
644	0.9733333333	0.2083824697
645	0.9733333333	0.2080856659
646	0.9746666667	0.2078855215
647	0.9746666667	0.2077372416
648	0.9746666667	0.2073990007
649	0.9746666667	0.2072014182
650	0.9746666667	0.2065979361
651	0.9746666667	0.2062278995
652	0.9746666667	0.2058950628
653	0.9746666667	0.2057240117
654	0.976	0.2052531921
655	0.976	0.2048239034
656	0.976	0.2044609447
657	0.976	0.2043084416
658	0.976	0.2038787373
659	0.9773333333	0.2036111129
660	0.9773333333	0.2035177172
661	0.9773333333	0.2033608948
662	0.9773333333	0.2029792323
663	0.9773333333	0.2024115099
664	0.9773333333	0.2021415141
665	0.9773333333	0.2016361697
666	0.9773333333	0.2014313382
667	0.9773333333	0.2014156572
668	0.9773333333	0.2009447959
669	0.9773333333	0.2007976565
670	0.9773333333	0.2005454037
671	0.9773333333	0.2002073948
672	0.9773333333	0.200038993
673	0.9773333333	0.1997251851
674	0.9773333333	0.1995981761
675	0.9773333333	0.1994367858
676	0.9773333333	0.1993655116
677	0.9773333333	0.1991332349
678	0.9773333333	0.1989810238
679	0.9773333333	0.1983909108
680	0.9773333333	0.1980679628
681	0.9773333333	0.1979247564
682	0.9773333333	0.1976194906
683	0.9773333333	0.1973017538
684	0.9773333333	0.1972680054
685	0.9773333333	0.1968042695
686	0.9773333333	0.1967205514
687	0.9773333333	0.1962114704
688	0.9773333333	0.1960825296
689	0.9773333333	0.1954104864
690	0.9773333333	0.195222195
691	0.9773333333	0.1949571467
692	0.9773333333	0.1942700159
693	0.9773333333	0.1938563901
694	0.9773333333	0.1936582217
695	0.9773333333	0.1934966654
696	0.9786666667	0.1929597533
697	0.9786666667	0.1926359251
698	0.9786666667	0.1923504425
699	0.9786666667	0.1923158359
700	0.9786666667	0.1922654289
701	0.9786666667	0.1921432101
702	0.9786666667	0.1918819465
703	0.9786666667	0.1916167511
704	0.9786666667	0.1915078108
705	0.9786666667	0.1913012075
