iter	Accuracy	Logloss
826	0.8422222222	0.3829750114
827	0.8421777778	0.3829380882
828	0.8422666667	0.3829254239
829	0.8421777778	0.3829251722
830	0.8422222222	0.3829195292
831	0.8422222222	0.38291274
832	0.8422666667	0.3828902622
833	0.8422666667	0.3828901395
834	0.8422666667	0.3828901185
835	0.8422666667	0.3828899799
836	0.8422666667	0.3828898734
837	0.8422666667	0.3828742044
838	0.8422666667	0.3827859365
839	0.8423111111	0.3827176865
840	0.8422222222	0.3827073136
841	0.8423111111	0.38269322
842	0.8423111111	0.3826911945
843	0.8423111111	0.3826907546
844	0.8422222222	0.3825874698
845	0.8422222222	0.3825858297
846	0.8422222222	0.382584855
847	0.8422666667	0.3825822015
848	0.8423555556	0.3825715674
849	0.8423555556	0.3825714662
850	0.8423555556	0.3825706051
851	0.8423555556	0.382570526
852	0.8423555556	0.382570526
853	0.8423555556	0.3825698525
854	0.8424	0.3825518425
855	0.8424888889	0.3825243352
856	0.8424	0.3825234504
857	0.8424888889	0.382511176
858	0.8424888889	0.382511129
859	0.8424888889	0.3825053489
860	0.8424888889	0.3825046744
861	0.8424888889	0.3824986649
862	0.8424888889	0.3824974464
863	0.8425777778	0.3824773384
864	0.8424	0.3824593552
865	0.8422222222	0.3824261788
866	0.8422222222	0.3824231941
867	0.8422666667	0.3824218486
868	0.8422666667	0.3824204036
869	0.8422666667	0.3823743015
870	0.8421777778	0.3823714414
871	0.8422666667	0.3823396927
872	0.8422666667	0.3823396927
873	0.8422666667	0.3823272645
874	0.8422666667	0.3823266455
875	0.8422666667	0.3823260442
876	0.8422666667	0.3823096831
877	0.8423111111	0.3822905327
878	0.8423111111	0.3822894829
879	0.8423111111	0.3822894126
880	0.8423555556	0.3822735365
881	0.8423555556	0.3822734421
882	0.8423555556	0.3822722457
883	0.8423555556	0.3822683388
884	0.8423555556	0.3822637709
885	0.8423555556	0.382262279
886	0.8423555556	0.3822497959
887	0.8423111111	0.3822436956
888	0.8423111111	0.3822434384
